customer_id,txn_date,txn_amount,txn_category
FB100143,2025-01-01,4926.1,Savings Deposit
FB104304,2024-05-22,5871.6,POS Purchase
FB103267,2025-02-11,8326.63,Airtime/Data
FB104477,2024-11-02,3993.73,Loan Repayment
FB103783,2025-06-29,1987.45,Transfer
FB104137,2025-10-09,56587.39,Transfer
FB104385,2024-01-29,3000.62,Transfer
FB104251,2025-05-03,2752.12,Savings Deposit
FB105607,2024-11-04,34979.29,Salary Credit
FB102609,2025-09-25,12614.66,Salary Credit
FB103272,2024-08-10,4961.63,Other/Unclassified
FB104002,2025-02-12,827.88,Loan Repayment
FB101195,2024-05-05,12289.69,Airtime/Data
FB104160,2024-07-09,6155.05,Loan Repayment
FB100045,2024-03-11,4926.1,Savings Deposit
FB103243,2024-12-17,26857.01,Salary Credit
FB102491,2024-05-21,51157.19,POS Purchase
FB105220,2024-11-27,873.55,Salary Credit
FB102320,2024-11-22,1624.6,Loan Repayment
FB105517,2024-11-15,6522.11,Savings Deposit
FB101354,2024-09-09,5556.79,Salary Credit
FB100463,2024-08-02,16068.9,Transfer
FB105286,2024-07-31,3499.37,ATM Withdrawal
FB103725,2024-10-12,3488.06,ATM Withdrawal
FB105006,2025-06-12,1216.5,POS Purchase
FB104739,2025-07-22,3215.16,ATM Withdrawal
FB103067,2024-07-01,578.39,ATM Withdrawal
FB102220,2024-01-29,1577.96,ATM Withdrawal
FB105014,2024-08-12,3264.04,Airtime/Data
FB101654,2025-07-02,2100.5,Bill Payment
FB104102,2024-11-16,5267.12,POS Purchase
FB100404,2024-04-09,1408.63,ATM Withdrawal
FB105191,2025-12-21,17504.84,Savings Deposit
FB100012,2025-11-30,329.61,Transfer
FB103498,2025-08-13,7419.86,Salary Credit
FB101576,2025-03-11,2293.93,Airtime/Data
FB101379,2024-07-06,12364.39,Loan Repayment
FB105913,2024-04-29,5065.01,Loan Repayment
FB105797,2024-05-05,4481.46,ATM Withdrawal
FB105964,2025-01-14,2327.07,Loan Repayment
FB103561,2025-09-25,7097.08,ATM Withdrawal
FB101028,2024-04-14,5795.19,Bill Payment
FB100231,2025-06-15,3029.24,Salary Credit
FB100284,2024-12-24,5091.66,Transfer
FB100228,2024-08-21,3867.95,Salary Credit
FB101875,2025-04-19,1133.77,Airtime/Data
FB104380,2025-07-06,7944.45,POS Purchase
FB105958,2025-03-26,16792.16,Savings Deposit
FB100518,2025-06-24,12042.5,Airtime/Data
FB101363,2025-02-21,5640.7,POS Purchase
FB103588,2024-11-22,425.62,Airtime/Data
FB100644,2024-04-28,61751.19,ATM Withdrawal
FB101552,2025-06-24,35351.29,Airtime/Data
FB104731,2025-12-02,11309.13,Loan Repayment
FB105881,2025-03-04,79838.24,POS Purchase
FB100164,2025-05-25,5091.66,Transfer
FB100520,2024-05-11,3612.78,Savings Deposit
FB102485,2025-10-19,275.28,Salary Credit
FB104623,2025-06-23,3430.01,Airtime/Data
FB101121,2025-05-02,7620.68,ATM Withdrawal
FB102617,2025-04-15,944.04,ATM Withdrawal
FB102418,2024-08-11,40986.33,Loan Repayment
FB105424,2025-10-06,1258.54,Loan Repayment
FB102409,2025-03-15,7725.39,ATM Withdrawal
FB101852,2025-01-11,24812.42,Bill Payment
FB103239,2025-10-16,10153.27,ATM Withdrawal
FB102204,2024-09-15,627.94,POS Purchase
FB103840,2024-07-19,134252.64,Airtime/Data
FB105091,2025-01-10,1454.48,ATM Withdrawal
FB101065,2024-07-20,21263.36,Loan Repayment
FB100490,2024-12-27,177.73,Savings Deposit
FB105743,2025-10-17,2711.15,Airtime/Data
FB102160,2025-09-13,28919.67,Savings Deposit
FB103607,2024-12-19,5032.209999999999,Salary Credit
FB103488,2024-04-30,7213.01,Transfer
FB104579,2024-04-20,410.81,Transfer
FB101828,2025-06-01,35110.23,POS Purchase
FB103336,2024-02-19,9978.38,ATM Withdrawal
FB105863,2024-11-26,17053.97,POS Purchase
FB104726,2024-05-11,11495.96,Loan Repayment
FB100010,2025-11-04,5091.66,Transfer
FB102099,2025-10-21,5064.945,Airtime/Data
FB102350,2025-07-09,363.07,Loan Repayment
FB100616,2025-09-23,14885.33,Loan Repayment
FB103350,2025-07-13,74712.65,Salary Credit
FB105063,2024-01-10,38701.54,ATM Withdrawal
FB103127,2024-04-25,4384.56,Transfer
FB103989,2025-11-24,76882.58,Salary Credit
FB103756,2025-09-15,32314.3,Loan Repayment
FB102048,2024-04-08,8967.36,Savings Deposit
FB101448,2025-05-20,921.87,Loan Repayment
FB100076,2024-09-03,18399.68,Loan Repayment
FB105890,2025-06-15,32788.6,Salary Credit
FB100332,2024-07-24,5032.209999999999,Salary Credit
FB100671,2025-06-16,14124.26,ATM Withdrawal
FB102730,2025-08-16,4182.84,Loan Repayment
FB100900,2024-03-23,3385.62,Bill Payment
FB100052,2024-12-04,5420.98,Loan Repayment
FB100492,2025-05-15,4113.76,POS Purchase
FB100491,2025-05-13,11915.95,Bill Payment
FB101316,2024-04-22,1206.53,Bill Payment
FB105337,2024-08-14,1526.6,Salary Credit
FB105798,2024-09-22,7732.88,Savings Deposit
FB101373,2024-07-23,2397.97,ATM Withdrawal
FB100736,2024-02-16,42366.53,ATM Withdrawal
FB101126,2025-04-08,5523.6,Transfer
FB105456,2024-03-21,915.82,Airtime/Data
FB105718,2024-06-23,20099.76,Airtime/Data
FB101123,2025-10-14,12215.1,Loan Repayment
FB100203,2024-07-25,35784.57,ATM Withdrawal
FB103387,2025-10-12,1227.72,Savings Deposit
FB101912,2024-07-25,7784.86,ATM Withdrawal
FB104949,2025-04-09,427.99,Savings Deposit
FB100898,2025-03-28,2104.97,Transfer
FB101649,2025-12-09,13494.7,Airtime/Data
FB101093,2025-03-12,4079.31,Savings Deposit
FB100300,2024-05-26,1881.21,Transfer
FB101097,2025-01-24,5003.9,ATM Withdrawal
FB100476,2024-09-18,5064.945,Airtime/Data
FB102629,2024-01-18,7754.19,Loan Repayment
FB102205,2025-07-20,17172.8,POS Purchase
FB103675,2025-01-06,4926.1,Savings Deposit
FB100960,2025-11-23,8140.75,Transfer
FB103271,2025-03-03,3415.91,Airtime/Data
FB103045,2024-06-14,3774.29,Bill Payment
FB101528,2025-05-11,740.31,ATM Withdrawal
FB104049,2024-11-06,3662.72,POS Purchase
FB100694,2024-06-27,7677.5,Salary Credit
FB100442,2025-06-08,7223.1,Bill Payment
FB100146,2024-08-05,4881.69,POS Purchase
FB101629,2024-06-15,4692.44,Savings Deposit
FB105770,2025-06-28,7821.26,ATM Withdrawal
FB103714,2025-02-18,11018.86,Transfer
FB100974,2025-07-28,4881.69,POS Purchase
FB103201,2024-11-30,1404.79,Transfer
FB101031,2024-09-02,1373.18,Airtime/Data
FB102050,2025-04-27,196.26,Loan Repayment
FB103273,2024-10-05,11588.17,ATM Withdrawal
FB101056,2025-09-26,470165.5041500111,Salary Credit
FB104677,2025-09-15,6013.47,Bill Payment
FB105140,2024-06-22,3783.93,POS Purchase
FB102270,2025-06-30,29449.58,Bill Payment
FB104024,2024-02-23,1536.04,ATM Withdrawal
FB105818,2025-12-02,804.86,Transfer
FB100224,2024-10-17,9207.82,ATM Withdrawal
FB100635,2025-04-27,5341.88,Airtime/Data
FB101661,2025-04-29,1939.78,Transfer
FB101244,2025-04-02,4823.01,ATM Withdrawal
FB100696,2024-03-21,2610.61,Airtime/Data
FB102611,2024-03-28,448.61,Airtime/Data
FB103252,2025-02-22,5451.22,POS Purchase
FB105886,2025-07-13,22950.6,Savings Deposit
FB101386,2025-02-02,7832.3,Transfer
FB105825,2024-09-14,330.82,POS Purchase
FB101244,2024-10-30,16291.61,ATM Withdrawal
FB105402,2025-04-13,2753.28,Transfer
FB105567,2024-06-04,985.74,POS Purchase
FB102921,2025-05-13,2192.58,Bill Payment
FB101747,2024-03-11,15269.59,Loan Repayment
FB101667,2024-10-17,3791.02,ATM Withdrawal
FB102287,2025-12-01,563.59,Transfer
FB103213,2024-03-08,11868.7,Loan Repayment
FB100046,2025-11-29,5065.01,Loan Repayment
FB101813,2024-04-20,1573.22,Loan Repayment
FB102127,2024-04-09,3045.82,Airtime/Data
FB100615,2025-06-27,44633.72,Bill Payment
FB100360,2024-06-06,4228.7,Airtime/Data
FB100078,2024-11-19,2937.81,POS Purchase
FB102590,2024-12-02,592.76,Transfer
FB104305,2024-12-25,31632.15,ATM Withdrawal
FB100842,2025-11-21,481.27,Salary Credit
FB105017,2024-03-24,1777.46,Savings Deposit
FB103599,2025-02-12,15541.96,Bill Payment
FB101596,2025-08-18,5339.07,Transfer
FB102301,2024-12-30,10680.32,ATM Withdrawal
FB105430,2024-07-22,1992.52,POS Purchase
FB105953,2025-03-28,1263.78,Savings Deposit
FB104453,2024-12-12,1725.4,Savings Deposit
FB101641,2025-03-03,3280.43,Bill Payment
FB104576,2025-10-09,25034.02,ATM Withdrawal
FB101376,2024-01-09,3111.89,POS Purchase
FB103664,2025-02-02,390.31,Savings Deposit
FB101244,2025-03-14,5065.01,Loan Repayment
FB104019,2025-05-28,3140.5,ATM Withdrawal
FB103267,2024-09-09,5838.71,Salary Credit
FB103420,2025-01-02,1193.57,Savings Deposit
FB100499,2025-10-29,16084.81,Savings Deposit
FB100587,2024-07-27,10253.35,Savings Deposit
FB104163,2024-06-12,247893.89,Bill Payment
FB101023,2025-03-31,3222.98,Transfer
FB105121,2024-03-18,13350.13,Salary Credit
FB104478,2025-03-05,5003.9,ATM Withdrawal
FB103950,2025-10-06,7916.2,POS Purchase
FB100831,2024-10-10,1015.22,POS Purchase
FB103396,2025-04-03,2323.0,Savings Deposit
FB100069,2025-01-19,3985.14,Transfer
FB101069,2024-07-03,14008.21,Salary Credit
FB101563,2025-02-25,1904.18,ATM Withdrawal
FB101364,2025-07-07,27552.82,Savings Deposit
FB105936,2024-11-07,3030.08,Transfer
FB104540,2025-03-14,70015.14,Loan Repayment
FB100118,2024-02-18,4881.69,POS Purchase
FB104380,2024-02-20,272.52,ATM Withdrawal
FB103013,2025-09-11,731.28,ATM Withdrawal
FB101767,2025-07-09,17836.01,POS Purchase
FB103291,2025-04-12,3269.94,Transfer
FB103461,2024-08-14,38790.7,Savings Deposit
FB104148,2025-08-14,3422.14,Savings Deposit
FB102946,2024-06-07,1741.85,Loan Repayment
FB102137,2025-07-09,1499.91,Airtime/Data
FB102174,2024-09-17,3808.57,ATM Withdrawal
FB104244,2025-08-12,3424.59,Transfer
FB101100,2024-07-07,535.01,Salary Credit
FB101954,2024-07-16,2071.93,ATM Withdrawal
FB103547,2025-08-24,7116.65,Savings Deposit
FB105556,2024-03-09,11487.86,Loan Repayment
FB101665,2024-12-05,14461.89,Bill Payment
FB104640,2025-10-31,18975.27,Airtime/Data
FB100238,2025-07-06,4820.03,Bill Payment
FB104719,2024-10-23,25829.69,POS Purchase
FB102187,2024-07-17,46251.17,Savings Deposit
FB100616,2024-07-06,1646.35,ATM Withdrawal
FB102497,2025-11-20,1699.16,Transfer
FB102965,2025-07-24,3985.91,POS Purchase
FB102866,2024-04-06,7878.02,ATM Withdrawal
FB103254,2024-05-16,2039.05,Bill Payment
FB102885,2024-02-14,479.2,Airtime/Data
FB102512,2025-09-15,3643.57,Airtime/Data
FB101378,2025-02-13,4931.56,Transfer
FB104959,2024-05-15,1903.59,Salary Credit
FB101505,2024-02-23,2204.79,Savings Deposit
FB100461,2025-08-09,7716.32,Transfer
FB105035,2025-05-02,36700.58,ATM Withdrawal
FB105872,2025-08-20,13080.86,Salary Credit
FB100992,2025-11-13,2704.58,Salary Credit
FB103057,2024-10-31,4330.2,Salary Credit
FB103589,2025-04-25,1703.69,Savings Deposit
FB104646,2024-12-19,3058.58,POS Purchase
FB103253,2025-08-12,5823.67,POS Purchase
FB101618,2025-10-27,2093.97,ATM Withdrawal
FB100848,2024-01-11,8759.27,Loan Repayment
FB105430,2024-11-04,960.33,ATM Withdrawal
FB101773,2024-06-28,19144.51,ATM Withdrawal
FB104477,2024-02-19,5064.945,Airtime/Data
FB100580,2025-05-21,845.63,Savings Deposit
FB104837,2025-03-12,6358.48,POS Purchase
FB103425,2024-02-08,12626.1,Transfer
FB100902,2024-09-10,11243.86,Bill Payment
FB102151,2024-10-20,4570.84,POS Purchase
FB100014,2024-10-08,4820.03,Bill Payment
FB101348,2024-10-31,74874.29,POS Purchase
FB100820,2025-03-01,14300.01,Transfer
FB105560,2024-02-12,5143.69,Salary Credit
FB104973,2024-07-08,4303.78,Bill Payment
FB104245,2025-09-09,24337.86,Loan Repayment
FB105711,2025-08-23,7255.3,Loan Repayment
FB104550,2025-03-14,5003.9,ATM Withdrawal
FB105060,2024-09-25,913.1,Transfer
FB105581,2025-04-29,839.16,Airtime/Data
FB100847,2025-01-07,7198.56,Transfer
FB104335,2025-01-18,20392.55,Savings Deposit
FB105461,2024-03-30,11144.82,POS Purchase
FB100145,2024-08-02,5065.01,Loan Repayment
FB105395,2024-05-04,20663.78,POS Purchase
FB103838,2024-11-23,764.03,Salary Credit
FB100271,2025-09-20,32670.65,ATM Withdrawal
FB105767,2025-01-01,5268.44,ATM Withdrawal
FB103368,2024-04-05,27075.31,ATM Withdrawal
FB102270,2025-11-03,1354.7,Airtime/Data
FB100490,2025-01-04,5064.945,Airtime/Data
FB100373,2024-04-22,1274.49,Savings Deposit
FB102072,2025-05-08,437.01,Loan Repayment
FB102492,2025-10-03,9961.35,Loan Repayment
FB105514,2024-01-02,6291.46,Transfer
FB102916,2025-01-30,5458.3,Bill Payment
FB104352,2025-05-24,1915.06,POS Purchase
FB101811,2024-06-05,1012.55,Loan Repayment
FB105490,2024-04-03,137.63,Airtime/Data
FB105203,2025-12-28,2266.0,ATM Withdrawal
FB100674,2025-07-26,1871.38,Salary Credit
FB102148,2025-04-18,23782.3,POS Purchase
FB101928,2025-06-17,27675.18,Loan Repayment
FB103726,2024-03-11,2922.84,Bill Payment
FB104301,2024-01-26,149100.21,ATM Withdrawal
FB104556,2024-05-05,14204.44,Savings Deposit
FB105503,2025-03-28,2683.09,Bill Payment
FB103700,2024-09-14,9200.11,Airtime/Data
FB102031,2024-12-26,1291.86,POS Purchase
FB105574,2024-08-20,12158.54,Salary Credit
FB104094,2024-03-24,12894.19,Transfer
FB101761,2025-10-21,4820.03,Bill Payment
FB100021,2024-06-13,5091.66,Transfer
FB101698,2025-06-10,3492.16,Bill Payment
FB103107,2024-12-25,30388.89,Salary Credit
FB100725,2024-12-26,2334.31,Airtime/Data
FB105844,2025-11-17,10248.19,POS Purchase
FB105113,2024-02-05,5839.15,Salary Credit
FB103171,2025-07-06,51163.57,Salary Credit
FB102770,2024-09-16,1447.38,POS Purchase
FB100914,2024-05-17,1902.71,Other/Unclassified
FB103127,2024-02-17,14765.23,Transfer
FB104871,2025-03-13,1985.68,ATM Withdrawal
FB105611,2025-11-25,2009.0,Airtime/Data
FB100005,2024-03-21,5003.9,ATM Withdrawal
FB102165,2024-02-25,19010.53,ATM Withdrawal
FB102872,2025-08-22,20906.77,Loan Repayment
FB102132,2025-07-23,5065.01,Loan Repayment
FB101951,2024-01-29,1968.6,Bill Payment
FB105974,2025-04-21,2229.87,Loan Repayment
FB101405,2024-06-18,1335.71,Bill Payment
FB102131,2025-05-16,59056.12,Salary Credit
FB101537,2025-12-24,1553.12,ATM Withdrawal
FB102649,2024-06-26,5064.945,Airtime/Data
FB104900,2024-01-06,4141.67,Salary Credit
FB104598,2025-07-25,7822.97,Transfer
FB102257,2025-09-15,30255.33,Salary Credit
FB100257,2024-04-15,15079.07,Savings Deposit
FB103659,2024-04-30,2808.97,POS Purchase
FB102887,2024-09-08,3126.67,Bill Payment
FB102286,2024-07-15,3849.66,Savings Deposit
FB101531,2025-07-20,2158.31,Savings Deposit
FB105669,2024-10-01,759.29,Transfer
FB103783,2025-07-02,6581.72,Bill Payment
FB100011,2025-11-27,6068.65,Savings Deposit
FB100337,2024-03-26,470165.5041500111,Transfer
FB103246,2024-01-06,131323.98,Airtime/Data
FB102841,2025-07-17,14177.6,POS Purchase
FB103550,2024-09-09,2461.54,ATM Withdrawal
FB105189,2025-07-04,2348.4,POS Purchase
FB102580,2025-07-06,5539.16,Loan Repayment
FB102133,2024-03-30,10511.11,Salary Credit
FB102104,2024-08-16,3182.62,Loan Repayment
FB101973,2025-12-28,10376.6,Savings Deposit
FB100575,2025-01-22,564.41,Transfer
FB100905,2024-07-02,1978.36,ATM Withdrawal
FB100858,2025-09-09,1477.46,Savings Deposit
FB104471,2024-02-09,153.35,Bill Payment
FB104934,2024-12-10,11042.95,Salary Credit
FB102086,2024-06-24,2249.7,Loan Repayment
FB104777,2025-01-24,15326.28,Salary Credit
FB100525,2025-11-04,13745.95,POS Purchase
FB101730,2025-08-01,17345.15,Transfer
FB104326,2025-08-12,5065.01,Loan Repayment
FB101221,2025-11-24,2372.34,Loan Repayment
FB101682,2025-07-02,3115.33,Bill Payment
FB102307,2024-09-15,18129.29,POS Purchase
FB102345,2025-03-14,2397.15,Savings Deposit
FB103376,2024-09-03,3183.69,Salary Credit
FB105360,2024-06-16,2522.18,Loan Repayment
FB103700,2025-12-21,12378.12,Loan Repayment
FB105990,2024-05-13,946.86,ATM Withdrawal
FB100789,2025-12-02,1980.04,POS Purchase
FB103956,2025-05-25,593.27,POS Purchase
FB104352,2024-09-21,22379.92,Transfer
FB105085,2025-03-19,3582.01,POS Purchase
FB102316,2024-06-16,3316.5,Transfer
FB101792,2024-09-07,574.93,POS Purchase
FB102611,2025-03-14,5127.64,POS Purchase
FB100155,2024-08-21,5032.209999999999,Salary Credit
FB100967,2024-08-04,7911.77,Airtime/Data
FB105143,2025-08-04,20974.4,Loan Repayment
FB102801,2025-10-24,3974.86,POS Purchase
FB100758,2024-01-08,715.94,Airtime/Data
FB100938,2025-02-01,4189.13,Loan Repayment
FB105964,2024-08-16,15294.46,Salary Credit
FB101153,2024-08-01,7378.18,Savings Deposit
FB101760,2025-09-04,879.32,Salary Credit
FB104868,2025-01-31,5511.55,Salary Credit
FB100210,2025-02-14,27380.17,POS Purchase
FB105708,2025-10-13,1387.41,Savings Deposit
FB102503,2025-08-25,18315.31,Savings Deposit
FB100152,2025-11-09,3753.47,POS Purchase
FB102455,2025-12-15,5064.945,Airtime/Data
FB100263,2025-08-08,6477.53,Airtime/Data
FB104751,2025-02-26,2484.99,Bill Payment
FB102757,2024-01-25,1767.07,Bill Payment
FB103338,2025-08-04,423.01,Loan Repayment
FB105665,2025-10-25,7025.49,Transfer
FB102006,2024-01-07,12852.88,Airtime/Data
FB104133,2025-11-04,1986.99,Loan Repayment
FB100796,2025-10-29,28979.1,Transfer
FB101225,2024-08-01,6759.26,POS Purchase
FB103310,2024-05-28,3210.69,Airtime/Data
FB104883,2025-08-02,1786.15,POS Purchase
FB101383,2025-12-02,26623.05,Bill Payment
FB101877,2025-10-08,3333.64,Loan Repayment
FB100582,2024-11-20,747.63,POS Purchase
FB104285,2025-11-14,9748.64,Transfer
FB105828,2024-02-15,2850.98,Airtime/Data
FB102936,2024-05-16,10075.27,Bill Payment
FB100794,2025-09-20,8538.71,Loan Repayment
FB104132,2024-02-04,11074.84,ATM Withdrawal
FB103556,2025-03-07,399.71,ATM Withdrawal
FB102200,2024-08-16,5462.69,POS Purchase
FB103244,2024-02-16,3641.08,Bill Payment
FB105452,2024-11-24,1911.83,Salary Credit
FB104663,2025-03-02,9216.33,Savings Deposit
FB102739,2024-09-02,5650.29,Loan Repayment
FB103829,2025-01-26,5032.209999999999,Salary Credit
FB102962,2024-05-05,17173.77,Salary Credit
FB101677,2025-05-05,8129.79,Bill Payment
FB100393,2025-01-07,4926.1,Savings Deposit
FB100133,2024-04-25,4926.1,Savings Deposit
FB104911,2024-09-12,5102.86,POS Purchase
FB102077,2025-09-14,1176.13,Savings Deposit
FB104247,2025-09-23,489.92,ATM Withdrawal
FB103935,2025-11-21,3046.61,POS Purchase
FB103891,2025-08-29,5311.61,Transfer
FB104511,2025-04-30,4004.88,Loan Repayment
FB104406,2025-08-29,3773.42,Bill Payment
FB102041,2025-05-25,880.51,Savings Deposit
FB100213,2024-06-01,5003.9,ATM Withdrawal
FB103116,2024-11-17,23531.52,Transfer
FB105928,2025-02-13,12781.71,Savings Deposit
FB102507,2025-02-10,1275.97,Bill Payment
FB105072,2025-03-21,8092.64,ATM Withdrawal
FB101165,2024-03-23,14969.44,Savings Deposit
FB101234,2024-02-05,1570.21,Salary Credit
FB103208,2025-06-11,1789.9,Bill Payment
FB103150,2025-10-01,7463.06,ATM Withdrawal
FB101398,2025-05-13,185.3,Bill Payment
FB105248,2025-11-21,2962.88,Bill Payment
FB100224,2024-05-24,11177.19,ATM Withdrawal
FB101467,2025-03-02,10163.63,Loan Repayment
FB100200,2025-07-25,5032.209999999999,Salary Credit
FB101429,2024-11-03,13183.2,POS Purchase
FB101384,2024-02-18,19265.33,Bill Payment
FB105327,2025-10-12,25026.73,Savings Deposit
FB102815,2024-02-24,28181.7,Transfer
FB100676,2024-10-16,3381.05,POS Purchase
FB103250,2024-10-04,62009.25,Bill Payment
FB102989,2024-02-07,1916.71,POS Purchase
FB102184,2024-06-30,4684.85,Bill Payment
FB102032,2024-05-11,9872.38,ATM Withdrawal
FB103170,2024-01-27,3090.56,Loan Repayment
FB105058,2025-03-15,1895.71,Transfer
FB101706,2024-05-22,5000.02,ATM Withdrawal
FB103001,2024-02-14,4986.9,Airtime/Data
FB104741,2024-08-18,14044.5,Bill Payment
FB105819,2025-02-19,1784.89,Bill Payment
FB103476,2024-04-02,5954.47,Bill Payment
FB105057,2025-11-27,8344.88,ATM Withdrawal
FB100133,2024-09-01,480.22,ATM Withdrawal
FB103559,2024-08-19,19665.78,Airtime/Data
FB104005,2024-04-15,12734.53,Airtime/Data
FB100139,2024-10-09,5032.209999999999,Salary Credit
FB103985,2025-11-15,4135.42,ATM Withdrawal
FB102806,2025-09-03,27433.14,ATM Withdrawal
FB101349,2025-03-31,5017.79,Other/Unclassified
FB103580,2025-03-27,30257.2,Transfer
FB100390,2024-02-28,4820.03,Bill Payment
FB101608,2024-05-17,2404.72,Salary Credit
FB103485,2024-08-21,1883.88,POS Purchase
FB104550,2024-12-13,2270.99,Salary Credit
FB102963,2024-07-07,5830.67,Salary Credit
FB104106,2025-05-05,6110.68,Loan Repayment
FB101005,2024-10-01,10474.1,Airtime/Data
FB105377,2025-04-19,417.69,Transfer
FB103654,2025-10-08,28570.4,Salary Credit
FB100928,2025-09-01,11637.9,POS Purchase
FB100473,2024-11-17,5841.66,Transfer
FB100010,2024-06-06,14883.03,Salary Credit
FB101865,2025-04-19,66094.03,Airtime/Data
FB105323,2024-05-10,8210.16,Savings Deposit
FB100876,2024-02-14,3985.14,Savings Deposit
FB105824,2025-09-22,2042.08,POS Purchase
FB101294,2024-06-03,8473.55,Transfer
FB105460,2024-10-01,4712.51,POS Purchase
FB102177,2025-07-04,19403.53,Transfer
FB104180,2024-05-19,2259.5,Salary Credit
FB102125,2025-01-11,1530.85,Airtime/Data
FB101377,2024-04-15,2544.16,Salary Credit
FB101934,2025-10-20,5218.87,Airtime/Data
FB100847,2025-11-29,7939.07,Savings Deposit
FB104700,2025-10-13,9854.88,Loan Repayment
FB103530,2025-01-08,12845.11,ATM Withdrawal
FB101523,2024-03-26,1156.3,Loan Repayment
FB103392,2025-04-30,590.48,Savings Deposit
FB100773,2025-09-10,1101.36,Bill Payment
FB105546,2024-12-30,1178.02,Savings Deposit
FB103021,2024-05-18,8686.02,Bill Payment
FB100487,2025-04-18,2912.35,Transfer
FB102894,2025-08-21,1384.13,POS Purchase
FB103433,2025-01-21,750.48,Loan Repayment
FB101970,2025-07-02,5065.01,Loan Repayment
FB101306,2024-09-26,3781.51,ATM Withdrawal
FB104083,2024-03-11,6450.99,Salary Credit
FB104915,2025-04-23,2838.46,Loan Repayment
FB101603,2025-08-20,1971.05,POS Purchase
FB102141,2025-08-25,6533.65,ATM Withdrawal
FB103932,2025-01-15,1126.26,POS Purchase
FB102343,2024-02-16,4912.87,Airtime/Data
FB100857,2024-03-19,459.19,Savings Deposit
FB100958,2025-12-02,550.32,Bill Payment
FB103597,2025-01-14,83580.49,POS Purchase
FB104012,2024-01-16,2868.62,Bill Payment
FB105986,2024-05-27,306.57,Savings Deposit
FB100565,2025-03-15,2872.78,ATM Withdrawal
FB101376,2024-07-13,1914.87,POS Purchase
FB103640,2024-04-01,2194.38,Airtime/Data
FB105375,2024-12-19,4036.54,Savings Deposit
FB102611,2024-12-11,4836.31,Salary Credit
FB105021,2025-06-12,7248.21,Bill Payment
FB101350,2024-06-07,7255.63,Salary Credit
FB103869,2025-11-12,18823.4,Loan Repayment
FB101404,2024-05-05,2937.91,POS Purchase
FB102120,2024-11-28,3576.26,ATM Withdrawal
FB104387,2024-06-01,97412.05,Other/Unclassified
FB105332,2024-07-01,3867.96,ATM Withdrawal
FB103900,2025-11-16,155.91,Salary Credit
FB102502,2024-12-28,1516.25,Airtime/Data
FB101784,2025-03-07,1826.79,Bill Payment
FB102455,2025-05-25,7386.8,POS Purchase
FB105066,2025-11-08,7166.31,Bill Payment
FB101985,2025-09-16,12338.62,Airtime/Data
FB101601,2024-07-19,3802.8,Savings Deposit
FB100759,2024-10-16,5091.66,Transfer
FB101251,2025-08-30,1842.14,Savings Deposit
FB105713,2024-01-14,4197.24,Airtime/Data
FB104598,2025-02-07,8784.09,Savings Deposit
