customer_id,age,gender,location,account_balance,recency_days,frequency,monetary_total,monetary_avg,share_ATM Withdrawal,share_Airtime/Data,share_Bill Payment,share_Loan Repayment,share_Other/Unclassified,share_POS Purchase,share_Salary Credit,share_Savings Deposit,share_Transfer,cross_sell_conversion
FB104399,54,Male,Enugu,134119.27,83,4,30836.44,7709.110000000001,0.0,0.0,0.1657146544802188,0.0,0.0956546864683471,0.3773545195230058,0.0,0.0,0.361276139528428,0
FB101303,30,Female,Oyo,3209.52,12,9,53293.33,5921.48111111111,0.1246692597366312,0.0,0.1075046351954362,0.053821557031621,0.0,0.345581332598282,0.3684232154380294,0.0,0.0,1
FB103539,45,Male,Lagos,30573.07,126,4,490287.9441500111,122571.98603750278,0.0,0.0,0.0,0.0212569371210384,0.0,0.0197851489430709,0.9589579139358906,0.0,0.0,1
FB102517,47,Male,Kwara,505750.17,57,9,58948.31,6549.812222222222,0.2472966570203624,0.4698446825702043,0.0,0.0,0.0,0.0056059283124486,0.1677786861065228,0.1094740459904618,0.0,0
FB104504,41,Female,Anambra,128399.27,89,5,28071.230000000003,5614.246000000001,0.0533763572169797,0.1107984936890902,0.0384653611544631,0.0,0.0,0.112487055251943,0.0,0.0,0.6848727326875238,0
FB105610,26,Female,Abuja FCT,26999.05,5,5,47411.66,9482.332,0.1677104324126175,0.0,0.5698003402538532,0.2624892273335293,0.0,0.0,0.0,0.0,0.0,0
FB102364,58,Female,Kwara,37096.52,58,5,22518.11,4503.622,0.2222166958061755,0.0,0.0,0.0524138127045298,0.0,0.4350751461823394,0.0,0.0,0.2902943453069551,0
FB100535,37,Male,Edo,61374.2,51,6,57942.83,9657.138333333334,0.5050122681270487,0.2604424050395882,0.0,0.0499689090091043,0.0,0.0,0.0,0.1845764178242588,0.0,1
FB103857,54,Male,Kwara,75682.55,202,9,200296.19,22255.132222222222,0.1140774569900705,0.0,0.0,0.0,0.0,0.0139474944580823,0.0,0.0658189254623365,0.8061561230895106,1
FB101421,57,Male,Cross River,10051.15,63,8,158284.72,19785.59,0.0658957478649865,0.0,0.0304082415535751,0.0,0.0,0.0,0.8605292412306128,0.0061346414233793,0.0370321279274461,0
FB101543,37,Male,Cross River,138810.9,10,6,45413.53,7568.921666666666,0.0,0.1807331427440236,0.2311194483229998,0.0,0.0,0.1633400882952723,0.3635852575212717,0.0612220631164324,0.0,1
FB104722,56,Male,Imo,5359.53,155,6,92189.86,15364.976666666667,0.0117857864194608,0.0224524692845829,0.0789094375455174,0.0045864046219399,0.0,0.0,0.5604820313210152,0.3217838708074836,0.0,1
FB103381,41,Male,Enugu,227290.12,375,1,12077.65,12077.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FB104773,46,Female,Enugu,82506.0,67,2,2811.44,1405.72,0.0,0.0,0.0,0.61722462510315,0.0,0.0,0.0,0.38277537489685,0.0,0
FB101512,18,Female,Edo,23685.71,186,4,26055.34,6513.835,0.0,0.3871490450709912,0.5882820949563505,0.0,0.0,0.0,0.0,0.0245688599726581,0.0,0
FB105339,31,Female,Kaduna,88021.95,158,3,6346.52,2115.5066666666667,0.0,0.4382149587490466,0.0539145862614472,0.0,0.0,0.0,0.0,0.507870454989506,0.0,1
FB100576,29,Female,Plateau,8472.67,132,7,273608.27,39086.89571428571,0.0,0.0,0.0334480752354451,0.0,0.0,0.582848171950358,0.0105132421618688,0.2298060654380073,0.1433844452143204,1
FB103567,32,Female,Oyo,64071.73,170,9,110412.53,12268.058888888889,0.0554415336737596,0.0587622618556064,0.0,0.1328418975636189,0.5659202809681111,0.0,0.0040076067453576,0.1141826928519797,0.0688437263415664,0
FB103745,34,Female,Imo,15496.6,76,13,215100.04,16546.156923076924,0.1067250847559117,0.0707545661079375,0.0,0.0878152788813986,0.0,0.5407922750734961,0.1644282818357448,0.0176423956034596,0.0118421177420515,1
FB102787,25,Male,Ogun,4217.2,6,6,69616.09,11602.681666666664,0.0,0.1975546170432726,0.2614125556318948,0.0,0.0,0.2086455875358699,0.0,0.3182528636698786,0.0141343761190839,0
FB102579,35,Female,Kano,10475.59,121,7,44381.32,6340.188571428572,0.2045660201183741,0.2863328535518997,0.007969569179105,0.0,0.0,0.0208957282027663,0.368955677749107,0.0771229877795432,0.0341571634192042,0
FB101397,37,Female,Enugu,14281.62,123,3,48611.63,16203.876666666663,0.5184553572879576,0.0,0.0,0.2188669666086078,0.0,0.0,0.0,0.2626776761034345,0.0,0
FB102450,37,Female,Enugu,11854.46,186,6,32799.92,5466.653333333333,0.0664263815277598,0.1995916453454764,0.3076080673367496,0.0,0.1196713284666548,0.0,0.3067025773233593,0.0,0.0,0
FB102515,21,Male,Imo,144317.67,5,9,36118.79,4013.198888888889,0.040180471161963,0.1403449561848555,0.0,0.1527451501005432,0.0,0.0453725055573567,0.0,0.1363860749488008,0.4849708420464804,0
FB105626,26,Female,Kwara,76673.43,149,5,60131.21,12026.242,0.2026333745820182,0.2140874930007229,0.1215673192007943,0.0,0.0,0.0,0.1294908251472072,0.0,0.3322209880692572,1
FB104696,35,Male,Imo,35087.93,116,5,96927.79,19385.558,0.1599628960899655,0.0,0.0,0.3875473690259521,0.0,0.2825424989056286,0.0,0.1699472359784536,0.0,1
FB104808,51,Male,Edo,10006.45,129,4,14198.08,3549.52,0.2161919076382158,0.0,0.0,0.0,0.0,0.2149480774865333,0.5688600148752507,0.0,0.0,0
FB105337,18,Male,Imo,20716.37,147,2,10531.52,5265.76,0.0,0.8550446659171705,0.0,0.0,0.0,0.0,0.1449553340828294,0.0,0.0,0
FB100080,37,Female,Imo,86317.97,307,6,67093.48000000001,11182.246666666668,0.0,0.0481078042158492,0.1204789198592769,0.0,0.0,0.769169820972172,0.0,0.0622434549527018,0.0,0
FB103208,21,Female,Kaduna,184142.84,85,7,509200.4541500111,72742.92202143016,0.0241758818156382,0.923340700736099,0.0035151186245263,0.0,0.0297084377610225,0.0058915894036421,0.0,0.0074766822554294,0.0058915894036421,0
FB100586,39,Female,Delta,33899.23,363,3,16576.15,5525.383333333334,0.0,0.0,0.0,0.2892052738422371,0.0,0.0,0.0,0.0,0.7107947261577628,0
FB101181,18,Male,Enugu,123495.16,66,5,83423.26,16684.652,0.0,0.0,0.0378575471637047,0.0,0.0,0.0,0.0,0.191899237694619,0.7702432151416764,0
FB102521,35,Male,Ogun,14852.06,12,8,52313.14,6539.1425,0.1529235293465465,0.1160746611654356,0.2191107243801461,0.0,0.0,0.1047228287195148,0.0,0.3449544416565322,0.0622138147318245,1
FB100079,37,Unspecified,Unknown,36236.485,35,6,21396.75,3566.125,0.1638856368373701,0.0,0.2607087524974587,0.0,0.0,0.0,0.0778721067451832,0.4450507670557445,0.0524827368642434,0
FB100476,21,Female,Edo,177751.37,34,6,46905.225,7817.537499999999,0.0,0.5128508604318602,0.0471542349493046,0.0,0.0,0.0,0.0672063719980023,0.0122197473735601,0.3605687852472726,1
FB103770,45,Female,Oyo,34755.08,69,7,25832.88,3690.411428571428,0.2337664248043578,0.0,0.3213075739135551,0.0,0.0,0.3727966064952882,0.0,0.0,0.0721293947867988,1
FB101760,44,Female,Kaduna,2338.82,118,4,25827.43,6456.8575,0.0,0.0,0.0,0.141202202464589,0.0,0.7973317515525161,0.0340459736024838,0.0,0.027420072380411,0
FB100023,37,Unspecified,Unknown,116172.85,175,6,148796.83,24799.471666666665,0.0676672345775108,0.0586017860729963,0.0801587641349617,0.127954002783527,0.0,0.0,0.3889199790076172,0.0,0.2766982334233867,0
FB104678,46,Male,Ogun,82644.27,361,1,6895.68,6895.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FB102980,27,Female,Abuja FCT,367995.94,134,4,166835.02,41708.755,0.0,0.8323739823929054,0.0087301215296404,0.0,0.0,0.0,0.0,0.1344171625357793,0.0244787335416748,1
FB101951,59,Male,Ogun,12876.85,33,5,12800.29,2560.058,0.4905826352371704,0.0716710324531709,0.1537933906184938,0.2839529416911648,0.0,0.0,0.0,0.0,0.0,0
FB101973,44,Male,Edo,58163.01,3,4,490416.0641500111,122604.01603750278,0.0,0.0,0.0,0.0,0.0,0.0175844362173302,0.0,0.9824155637826698,0.0,1
FB101942,37,Female,Rivers,65507.51,23,6,48878.880000000005,8146.48,0.0191761758861905,0.0,0.5978305967730848,0.0,0.0,0.0,0.2889313339421852,0.0940618933985394,0.0,0
FB101509,32,Female,Cross River,66630.31,14,13,230561.99,17735.537692307695,0.5195112602905622,0.0676618899758802,0.008361178700791,0.0765205053964012,0.0,0.2565387729347756,0.0,0.0101711474645061,0.0612352452370835,0
FB100228,37,Unspecified,Unknown,36236.485,141,11,56039.59,5094.508181818182,0.0085259367529277,0.4358399124618863,0.3184628938220283,0.0356064346652072,0.0496261660729495,0.0465925964126432,0.0690217398093026,0.0363243200030549,0.0,1
FB104647,63,Male,Kano,12156.97,176,4,32444.390000000003,8111.097500000001,0.1756201919653906,0.3117463450537981,0.0,0.2720997374276415,0.0,0.2405337255531695,0.0,0.0,0.0,0
FB104813,40,Female,Rivers,509783.82,61,9,131966.77,14662.974444444444,0.169069531670738,0.2958581921797433,0.0,0.0027897174417468,0.0,0.102165189009324,0.0,0.3940466982710874,0.03607067142736,1
FB101728,52,Male,Lagos,24006.24,83,5,49082.9,9816.58,0.0,0.0,0.1638990361205226,0.0364805258043025,0.0,0.2276558638548252,0.0,0.5719645742203496,0.0,0
FB101049,18,Male,Kano,89293.02,3,8,114567.66,14320.9575,0.1783149799864988,0.0,0.5186433064967898,0.042040572356981,0.0,0.0452941083024651,0.0251920131737001,0.1905150196835651,0.0,1
FB101261,37,Unspecified,Unknown,36236.485,1,3,4025.25,1341.75,0.4097136823799763,0.0,0.4908962176262343,0.0,0.0,0.0,0.0,0.0,0.0993900999937892,0
FB104325,23,Male,Enugu,67347.42,211,4,43701.0,10925.25,0.0,0.0,0.0,0.1693061943662616,0.0,0.0,0.1896741493329672,0.6410196563007712,0.0,1
FB105296,36,Female,Imo,91022.93,50,6,25475.39,4245.8983333333335,0.1020628143474938,0.0,0.6465129680055928,0.0,0.0,0.1995372789189881,0.0,0.0518869387279252,0.0,0
FB105617,36,Female,Kwara,44338.43,184,9,145163.51,16129.27888888889,0.0180032847097731,0.1368339743231615,0.0621470919241343,0.1052369841429158,0.0,0.0076204412527638,0.0,0.6701582236472513,0.0,1
FB102770,59,Female,Ogun,227957.63,15,8,40620.84,5077.6050000000005,0.0,0.2111647617331399,0.1186590429936948,0.0,0.0,0.0898504314534116,0.0384287966472382,0.5418969671725153,0.0,0
FB101916,51,Male,Ogun,7591.07,500,2,8957.07,4478.535,0.2084922859819115,0.7915077140180885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FB101617,21,Female,Ogun,44731.26,237,6,111049.18,18508.196666666667,0.1173334193012501,0.1581438061946968,0.02699335555652,0.3456650467837763,0.0,0.3518643721637566,0.0,0.0,0.0,0
FB103044,41,Male,Enugu,34739.5,171,4,12906.52,3226.63,0.0,0.4257747247127808,0.0,0.1841565348366562,0.0,0.2299186767618226,0.1601500636887402,0.0,0.0,0
FB100346,23,Male,Oyo,71505.47,241,6,17871.56,2978.5933333333337,0.2649561649906332,0.0,0.0243923865627846,0.5648986434312394,0.0,0.0,0.0,0.1457528050153428,0.0,0
FB105071,30,Male,Abuja FCT,14651.79,105,6,32749.74,5458.29,0.2157772855601296,0.0,0.1966895004357286,0.0,0.3514430954261011,0.2360901185780406,0.0,0.0,0.0,0
FB100233,37,Unspecified,Unknown,36236.485,14,7,50063.51,7151.93,0.0,0.091855724858285,0.0,0.0405413044351065,0.0424001433379321,0.2234855286814688,0.0591183079252733,0.5425989907619342,0.0,1
FB100963,18,Female,Kano,26513.13,18,6,24984.21,4164.035,0.0499699610273849,0.0135377504431799,0.8663832076339417,0.0,0.0,0.0,0.0,0.0,0.0701090808954935,0
FB104058,24,Male,Enugu,52726.5,391,7,390131.43,55733.06142857143,0.0181455516157721,0.0,0.0,0.0103790150924266,0.0,0.0164499435485113,0.0011466392236072,0.9538788505196824,0.0,1
FB100599,37,Male,Unknown,162845.06,123,9,746400.0341500111,82933.33712777901,0.0142997581881874,0.1222786251663767,0.056695093869054,0.0115401120121986,0.0,0.0070441583057903,0.0342640123658676,0.0,0.7538782400925252,1
FB103680,28,Male,Enugu,75358.42,163,9,50472.86,5608.095555555556,0.0451038439272115,0.0,0.3384521899492123,0.380507662930137,0.0,0.1341306991519799,0.0,0.0667538950636044,0.0350517089778546,0
FB103669,38,Male,Edo,137549.9,90,3,19796.45,6598.816666666667,0.0,0.0,0.0,0.8357442874858876,0.0,0.0,0.0,0.0,0.1642557125141123,0
FB100037,18,Female,Ogun,89688.04,10,5,48330.67,9666.134,0.0,0.1541367003602474,0.0,0.0788590350599319,0.0,0.0,0.0880989235199925,0.0438620031545186,0.6350433379053094,1
FB100465,37,Unspecified,Unknown,36236.485,8,10,118428.33,11842.833,0.2396347225364066,0.1368768773485195,0.1026708727548551,0.0028364834664138,0.0,0.1403223367246671,0.0662664077083582,0.0819246543457971,0.2294676451149822,0
FB105704,33,Male,Cross River,195478.21,26,9,171226.5,19025.166666666668,0.0565213328544354,0.0756715812096842,0.0,0.0,0.0,0.5179171448344736,0.017209894496471,0.0,0.3326800466049355,1
FB100932,54,Male,Cross River,5832.84,256,6,91131.56,15188.593333333332,0.0194245550059715,0.8128389330765324,0.0670216772323441,0.0081949656079628,0.0,0.0,0.0,0.0099547291849278,0.0825651398922612,0
FB105290,23,Female,Oyo,791361.6,165,6,60762.53,10127.088333333331,0.0,0.4279708234663698,0.0,0.0471436920088745,0.3692599699189615,0.155625514605794,0.0,0.0,0.0,0
FB102228,22,Female,Kwara,8379.63,15,4,18983.31,4745.8275,0.2029082388687747,0.0,0.0,0.2806807664206084,0.0,0.0,0.0168131901127885,0.0,0.4995978045978284,0
FB105054,37,Male,Kwara,154017.34,92,8,70810.03,8851.25375,0.0,0.0,0.036572643734228,0.0,0.0,0.6288593579186452,0.0629744119583059,0.0459796444091324,0.2256139419796884,1
FB104741,19,Male,Plateau,49143.63,240,2,26397.120000000003,13198.56,0.0,0.0,0.5320466778193984,0.0,0.0,0.0,0.0,0.4679533221806015,0.0,0
FB100506,37,Unspecified,Unknown,36236.485,11,6,43491.22,7248.536666666667,0.0409222827044171,0.1717132791400195,0.0,0.2776063766433777,0.0,0.0524558750018969,0.0253644298780305,0.0,0.4319377566322582,0
FB100401,37,Male,Unknown,21839.97,1,7,128261.64,18323.09142857143,0.0,0.2080737467570194,0.0,0.2946542707546854,0.0,0.0,0.1026136107412941,0.0,0.3946583717470009,0
FB103780,18,Female,Delta,10493.91,203,4,81092.39,20273.0975,0.4822471011151601,0.0318862226159569,0.0,0.0926243510642614,0.0,0.3932423252046215,0.0,0.0,0.0,0
FB104806,31,Male,Kano,4625.94,82,9,95489.37,10609.93,0.0,0.0098556519956095,0.3310243852273818,0.0,0.0,0.0,0.186143546658649,0.0201999447687213,0.4527764713496381,1
FB104611,50,Female,Kwara,6749.67,12,11,105262.14,9569.285454545454,0.0318539030272422,0.0,0.2319050325216644,0.0588638992139054,0.0,0.0,0.002095150260103,0.0285025556197128,0.646779459357372,1
FB100167,37,Unspecified,Unknown,36236.485,103,5,119943.98,23988.796,0.0,0.0,0.0,0.0110990147233733,0.0,0.9611974690184536,0.0,0.0,0.0277035162581731,1
FB102093,68,Male,Rivers,16520.42,128,8,43675.68,5459.46,0.3441997926534859,0.1071683371615507,0.0149634762412399,0.0,0.0,0.1025346371252834,0.3839660882211794,0.0,0.0471676685972605,0
FB105430,36,Male,Anambra,8344.22,113,6,40154.79,6692.465,0.0239157022113675,0.0,0.0,0.4675384929170342,0.0,0.0784790556743043,0.0,0.4300667491972937,0.0,0
FB101769,37,Male,Oyo,30442.77,30,8,58195.07,7274.38375,0.2835585557333293,0.0,0.0948179974695451,0.0,0.0,0.0614911194367495,0.0,0.5292745588243127,0.0308577685360632,1
FB105185,27,Female,Abuja FCT,28394.96,8,6,45697.0,7616.166666666667,0.36763507451255,0.0463767862222903,0.0715906952316344,0.0,0.0,0.0,0.243184891787207,0.2712125522463181,0.0,0
FB101840,23,Female,Imo,23555.56,361,2,6949.79,3474.895,0.6842998133756559,0.0,0.0,0.0,0.0,0.0,0.315700186624344,0.0,0.0,0
FB105930,43,Female,Delta,11886.74,183,5,203744.99,40748.998,0.3692266003694128,0.0,0.0,0.0,0.0,0.5936039457951825,0.0,0.0371694538354047,0.0,0
FB105034,40,Male,Lagos,24641.79,309,2,2712.17,1356.085,0.0,0.0,0.0,0.0,0.0,0.0,0.7642072583945696,0.0,0.2357927416054303,0
FB103194,48,Female,Ogun,83320.9,187,4,81208.76999999999,20302.1925,0.0802143660099765,0.0,0.0322825970643318,0.0,0.0,0.0,0.0567699769372199,0.0,0.8307330599884718,0
